,,Country of Residence (COR)-Based 2017 Monthly/Quarterly I-94 Arrivals Data (R),,,,,,,,,,,,,,,,,Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Europe ,"771,840","847,113","996,376","2,615,329","1,365,187","1,136,347","1,136,807","3,638,341","1,439,732","1,472,224","1,227,369","4,139,325","1,409,294","983,579","1,097,876","3,490,749",,3.5%,0.6%,-15.0%,-5.2%,19.1%,-2.4%,-0.7%,5.3%,-2.6%,0.8%,-4.0%,-1.8%,0.2%,2.1%,6.6%,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia ,"1,088,528","797,515","899,974","2,786,017","892,018","1,074,682","1,098,962","3,065,662","1,183,526","1,302,502","1,086,657","3,572,685","946,777","828,779","937,098","2,712,654",,13.5%,-2.2%,7.8%,6.8%,10.7%,8.0%,6.8%,8.3%,3.0%,6.0%,0.6%,3.3%,1.5%,3.1%,3.6%,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South America ,"430,348","368,711","391,253","1,190,312","460,736","457,419","474,624","1,392,779","549,299","474,977","449,138","1,473,414","474,815","437,025","587,696","1,499,536",,-2.8%,-2.7%,-3.2%,-2.9%,11.9%,-1.9%,3.5%,4.2%,6.9%,6.4%,-4.4%,3.0%,-1.3%,6.4%,12.5%,6.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caribbean ,"81,969","80,685","104,263","266,917","134,425","127,587","150,349","412,361","214,856","202,828","108,644","526,328","130,447","143,965","190,614","465,026",,-0.1%,-4.1%,-2.8%,-2.0%,2.1%,4.0%,-1.4%,1.5%,-5.4%,0.0%,-4.9%,-3.6%,-9.8%,-5.5%,6.4%,-2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oceania ,"128,526","80,078","102,078","310,682","140,424","151,552","157,272","449,248","154,244","150,717","176,324","481,285","133,195","104,273","153,711","391,179",,3.9%,-4.7%,-12.1%,-5.4%,24.1%,2.6%,6.9%,10.5%,3.2%,11.7%,-10.6%,2.9%,6.6%,12.2%,12.4%,10.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central America ,"85,740","66,527","69,185","221,452","97,055","88,868","102,793","288,716","104,148","84,816","92,572","281,536","102,928","115,825","157,529","376,282",,8.2%,18.5%,11.3%,12.2%,15.0%,9.8%,6.5%,10.1%,8.2%,17.6%,1.8%,9.0%,2.3%,2.2%,9.8%,4.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Middle East ,"104,781","51,158","83,341","239,280","85,901","88,135","116,796","290,832","139,176","159,190","103,228","401,594","92,922","75,012","82,004","249,938",,-3.2%,-4.7%,-19.8%,-9.5%,19.5%,-5.2%,-5.4%,1.8%,-5.8%,4.5%,-8.7%,-3.9%,-2.9%,6.2%,4.4%,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eastern Europe ,"80,492","67,923","80,365","228,780","93,975","92,569","110,876","297,420","97,948","105,222","98,315","301,485","93,317","76,050","92,929","262,296",,-17.1%,-18.0%,-7.1%,-14.1%,-16.6%,-18.4%,-3.2%,-12.3%,-23.4%,-10.0%,-19.7%,-17.6%,-9.8%,5.0%,16.4%,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa ,"37,195","26,696","37,165","101,056","45,805","50,196","51,952","147,953","69,843","74,924","49,844","194,611","43,274","37,563","61,627","142,464",,2.8%,0.4%,-7.9%,-2.0%,10.3%,-5.1%,5.5%,3.0%,-3.1%,-1.0%,-2.4%,-2.1%,-2.2%,12.9%,17.4%,9.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOP 50 Overseas Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,United Kingdom,"228,304","262,524","328,846","819,674","424,831","396,757","346,934","1,168,522","425,962","491,959","422,367","1,340,288","474,808","331,612","347,803","1,154,223",,-1.2%,-6.6%,-19.5%,-11.0%,15.3%,-4.0%,-5.4%,1.7%,-5.9%,-2.8%,-5.0%,-4.5%,0.3%,2.9%,9.1%,3.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Japan,"272,007","293,445","347,318","912,770","250,608","268,323","283,362","802,293","308,341","392,925","318,531","1,019,797","291,885","288,186","280,676","860,747",,0.0%,-2.6%,2.5%,0.1%,0.6%,3.0%,2.3%,2.0%,3.7%,4.1%,-7.5%,0.1%,-4.9%,-2.4%,-1.1%,-2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"China, PRC","381,258","184,985","195,901","762,144","208,877","271,100","264,065","744,042","358,270","406,161","299,295","1,063,726","227,422","173,174","203,407","604,003",,29.0%,-12.2%,9.5%,11.2%,12.5%,10.9%,4.7%,9.1%,0.0%,2.7%,-3.4%,0.0%,-6.4%,2.8%,-1.9%,-2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,South Korea,"206,737","171,611","158,169","536,517","181,498","182,857","198,157","562,512","219,753","202,835","219,849","642,437","203,809","178,959","210,605","593,373",,14.0%,14.0%,25.0%,17.0%,33.1%,18.0%,14.9%,21.3%,12.5%,18.6%,22.6%,17.7%,21.0%,12.1%,12.8%,15.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Brazil,"179,561","121,550","121,281","422,392","142,265","142,145","150,322","434,732","182,291","150,610","157,906","490,807","174,356","159,199","230,961","564,516",,-7.8%,-4.5%,5.6%,-3.3%,5.5%,-1.1%,16.5%,6.6%,24.3%,20.4%,11.1%,18.6%,13.4%,18.0%,29.5%,20.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Germany,"112,803","116,678","157,853","387,334","198,095","185,678","176,311","560,084","196,084","210,351","220,937","627,372","229,834","139,268","136,533","505,635",,2.6%,-1.5%,-14.1%,-6.0%,26.5%,-5.2%,15.5%,10.9%,-2.3%,-1.4%,0.5%,-1.0%,0.4%,0.7%,6.5%,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,France,"86,023","113,022","114,140","313,185","185,076","135,059","122,250","442,385","202,962","190,869","118,348","512,179","167,081","101,117","131,559","399,757",,5.7%,5.0%,12.1%,7.7%,-0.1%,-0.7%,-1.9%,-0.8%,-4.0%,0.7%,-6.8%,-3.0%,0.2%,7.0%,14.3%,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,India,"101,615","63,354","79,250","244,219","109,908","180,460","155,577","445,945","125,628","134,583","100,337","360,548","81,787","70,988","81,979","234,754",,8.4%,10.9%,4.6%,7.8%,2.5%,7.7%,7.8%,6.4%,5.3%,6.5%,2.0%,4.8%,8.0%,5.0%,11.1%,8.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Australia,"107,396","66,949","84,708","259,053","112,155","122,045","126,623","360,823","117,862","119,907","144,430","382,199","106,118","86,427","129,083","321,628",,-2.0%,-5.4%,-5.3%,-4.0%,-0.2%,3.1%,-2.5%,0.0%,-4.1%,1.3%,-3.0%,-2.1%,-11.1%,-3.5%,6.8%,-2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Italy,"68,805","59,642","68,990","197,437","84,741","70,191","87,562","242,494","101,040","161,367","76,042","338,449","80,397","73,749","99,581","253,727",,14.5%,13.6%,-3.8%,7.1%,28.8%,2.4%,-2.5%,8.2%,3.8%,4.7%,-4.8%,2.1%,4.3%,6.0%,-2.7%,1.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Argentina,"84,620","81,144","80,137","245,901","88,559","97,262","78,373","264,194","107,466","81,869","87,627","276,962","77,607","66,346","87,167","231,120",,14.2%,14.3%,11.9%,13.5%,17.9%,8.3%,3.6%,9.8%,13.6%,11.5%,-3.4%,7.0%,-5.4%,11.2%,27.0%,9.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Colombia,"55,074","42,105","55,471","152,650","75,048","65,882","103,904","244,834","77,691","65,841","54,861","198,393","72,160","70,322","103,572","246,054",,-0.6%,-0.7%,-18.8%,-8.1%,38.1%,-6.3%,3.0%,8.6%,-5.3%,2.8%,-15.3%,-5.9%,-6.2%,1.0%,0.0%,-1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Spain,"48,944","45,669","52,089","146,702","76,745","55,369","70,647","202,761","84,021","114,916","71,210","270,147","68,731","59,756","78,721","207,208",,14.9%,18.3%,-28.2%,-4.6%,56.2%,-1.9%,-4.8%,12.8%,-1.1%,6.5%,-0.3%,2.2%,2.7%,0.8%,-5.8%,-1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Netherlands,"38,067","40,655","45,700","124,422","78,868","61,097","48,677","188,642","101,610","66,654","58,028","226,292","65,622","47,570","48,324","161,516",,7.0%,2.6%,9.5%,6.4%,5.7%,1.7%,2.0%,3.4%,3.6%,10.4%,-6.1%,2.7%,-0.1%,4.5%,10.6%,4.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ireland,"25,186","29,358","35,973","90,517","41,355","36,347","49,420","127,122","43,228","42,230","44,632","130,090","51,495","44,608","39,783","135,886",,14.3%,26.5%,-19.2%,0.8%,38.3%,9.4%,1.8%,13.8%,5.7%,20.0%,4.6%,9.6%,14.8%,1.7%,16.6%,10.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sweden,"37,877","40,330","40,706","118,913","55,393","37,375","53,046","145,814","38,190","28,955","35,741","102,886","60,125","40,319","54,154","154,598",,0.8%,-0.1%,-26.2%,-10.7%,22.9%,-2.2%,-11.4%,1.9%,-11.8%,-6.8%,-15.0%,-11.6%,-10.4%,-9.8%,-3.4%,-7.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Venezuela,"32,448","27,902","34,326","94,676","40,291","38,721","40,439","119,451","51,751","55,459","37,677","144,887","38,443","42,524","60,266","141,233",,-14.5%,-13.8%,-24.5%,-18.2%,-1.7%,-16.0%,-14.6%,-11.1%,-10.2%,-15.8%,-24.7%,-16.5%,-17.5%,-10.1%,-16.6%,-15.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Taiwan,"44,277","30,032","33,000","107,309","32,080","44,160","49,464","125,704","50,312","43,815","43,325","137,452","42,443","31,586","30,205","104,234",,11.1%,-20.2%,6.7%,-1.0%,7.2%,14.7%,-5.8%,3.9%,-0.2%,5.1%,-2.8%,0.6%,12.6%,-0.7%,-1.9%,3.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Switzerland,"20,864","20,348","26,893","68,105","52,711","37,158","33,444","123,313","64,250","34,207","41,446","139,903","46,653","28,749","34,547","109,949",,-13.6%,-25.1%,-29.8%,-24.0%,9.9%,-7.9%,-5.9%,-0.4%,-7.4%,-8.8%,-6.4%,-7.5%,-12.1%,8.2%,29.3%,3.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Dominican Republic,"19,076","19,686","26,915","65,677","33,104","30,393","41,730","105,227","52,586","39,142","31,110","122,838","35,957","35,475","57,905","129,337",,5.0%,8.6%,-2.3%,2.9%,33.8%,16.0%,15.1%,20.7%,15.6%,24.4%,3.2%,14.7%,14.5%,22.1%,25.3%,21.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ecuador,"15,729","26,148","40,782","82,659","44,805","36,092","26,984","107,881","35,434","47,480","38,512","121,426","39,291","36,577","30,175","106,043",,0.2%,-21.0%,-0.1%,-7.8%,5.4%,9.3%,9.0%,7.6%,-2.4%,8.5%,0.4%,2.5%,-7.0%,0.3%,3.9%,-1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Israel,"21,748","21,859","31,688","75,295","37,121","31,420","40,139","108,680","42,935","44,098","46,000","133,033","43,354","32,129","28,711","104,194",,-6.5%,0.9%,23.1%,6.6%,-14.5%,-3.7%,0.2%,-6.4%,-9.3%,8.1%,-7.7%,-3.6%,-14.3%,17.3%,28.4%,3.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Chile,"26,534","33,564","23,566","83,664","25,233","29,507","26,670","81,410","36,084","25,463","29,712","91,259","28,560","20,382","25,075","74,017",,-1.6%,-1.2%,7.4%,0.9%,4.5%,-8.2%,-11.4%,-5.8%,0.7%,-2.2%,-14.3%,-5.5%,-8.2%,-3.5%,1.8%,-3.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Denmark,"19,695","24,659","24,840","69,194","32,642","22,698","31,551","86,891","44,134","22,685","27,980","94,799","41,746","20,393","19,964","82,103",,0.4%,0.0%,-19.7%,-8.0%,32.7%,-0.3%,8.2%,13.5%,0.4%,13.3%,-4.3%,1.7%,1.8%,-10.6%,9.1%,-0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Costa Rica,"31,640","13,958","15,183","60,781","24,921","17,295","17,682","59,898","23,403","18,034","23,432","64,869","24,748","24,715","42,333","91,796",,3.0%,-1.7%,-25.6%,-7.0%,38.8%,-7.5%,-15.0%,4.2%,-19.3%,11.3%,-9.1%,-8.6%,-3.6%,5.6%,1.5%,1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Philippines,"14,244","14,421","21,051","49,716","33,599","33,570","32,673","99,842","25,760","22,780","24,048","72,588","27,824","23,972","35,369","87,165",,27.0%,17.9%,-7.3%,7.7%,27.3%,0.2%,18.8%,14.2%,1.6%,20.6%,0.5%,6.5%,-0.5%,3.9%,1.1%,1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,New Zealand,"20,142","12,345","16,280","48,767","27,037","28,130","29,133","84,300","34,973","29,473","30,648","95,094","25,974","16,820","23,164","65,958",,12.7%,6.2%,15.0%,11.7%,13.8%,11.4%,4.7%,9.7%,-9.2%,-3.5%,-12.6%,-8.7%,-3.4%,-14.1%,6.3%,-3.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Peru,"20,937","22,606","20,838","64,381","21,052","26,800","21,680","69,532","29,985","23,309","20,262","73,556","26,500","23,836","29,719","80,055",,-4.6%,-11.6%,2.5%,-5.1%,0.7%,-4.2%,-2.8%,-2.3%,-7.2%,2.2%,-12.8%,-6.1%,-7.9%,0.4%,11.2%,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Belgium,"14,804","16,260","20,832","51,896","29,709","22,251","21,925","73,885","38,752","26,131","25,885","90,768","25,766","17,707","18,105","61,578",,-6.2%,-5.1%,-24.9%,-14.4%,42.9%,-3.4%,0.7%,12.6%,1.3%,3.1%,-7.6%,-0.9%,0.7%,0.9%,15.2%,4.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Jamaica,"13,122","12,787","15,770","41,679","20,714","22,091","26,760","69,565","47,500","32,686","16,935","97,121","18,110","21,945","30,000","70,055",,1.7%,-7.2%,-26.1%,-13.2%,7.7%,-6.5%,0.0%,-0.1%,0.2%,10.6%,-9.8%,1.4%,0.8%,7.0%,12.5%,7.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Norway,"17,811","23,026","23,163","64,000","30,109","17,729","35,066","82,904","34,889","16,419","25,274","76,582","25,989","19,795","18,137","63,921",,6.0%,7.0%,-26.7%,-8.5%,48.7%,-5.8%,8.2%,16.0%,13.6%,9.3%,2.5%,8.8%,-2.4%,-7.0%,-1.0%,-3.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bahamas,"15,034","14,059","16,453","45,546","20,920","19,401","22,372","62,693","34,702","45,774","12,982","93,458","20,078","23,265","29,397","72,740",,12.9%,9.7%,-7.6%,3.7%,40.6%,5.4%,18.1%,20.0%,-0.2%,8.4%,-24.4%,-0.8%,13.4%,-0.3%,-4.1%,1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Guatemala,"13,298","11,535","15,319","40,152","20,240","19,417","25,671","65,328","18,403","17,911","17,839","54,153","24,658","33,057","34,900","92,615",,-0.6%,-2.4%,-16.5%,-7.8%,17.6%,-8.3%,-1.2%,1.5%,1.2%,5.4%,-11.1%,-2.0%,-2.6%,0.4%,-0.3%,-0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Russia,"25,525","18,847","23,593","67,965","26,204","24,272","28,668","79,144","28,244","26,562","25,627","80,433","24,555","19,521","28,926","73,002",,8.6%,24.2%,20.1%,16.5%,17.5%,15.3%,16.7%,16.6%,10.5%,17.4%,-1.9%,8.3%,-5.5%,-6.8%,11.1%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Honduras,"12,505","10,180","12,656","35,341","17,650","17,223","21,108","55,981","20,736","17,224","16,636","54,596","16,479","16,551","27,690","60,720",,5.8%,6.1%,-9.9%,-0.3%,27.1%,3.6%,2.0%,9.3%,0.3%,5.6%,3.0%,2.8%,2.0%,12.3%,6.2%,6.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,El Salvador,"7,984","8,771","10,874","27,629","15,800","17,459","17,940","51,199","20,183","13,314","15,331","48,828","14,884","17,499","26,215","58,598",,-9.2%,-9.0%,-28.8%,-18.0%,12.9%,-4.4%,0.5%,2.2%,-1.6%,0.7%,-3.5%,-1.6%,1.4%,9.2%,4.6%,5.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Poland,"12,144","12,105","12,294","36,543","18,479","17,656","22,388","58,523","19,981","21,798","19,587","61,366","16,341","14,170","12,616","43,127",,4.6%,22.1%,10.2%,11.8%,14.4%,5.7%,0.8%,6.3%,8.7%,22.9%,4.9%,12.0%,15.7%,11.6%,9.6%,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Austria,"11,747","14,015","13,431","39,193","20,255","17,352","13,664","51,271","23,722","19,896","17,662","61,280","18,843","13,307","14,819","46,969",,-6.4%,6.3%,-19.8%,-7.7%,31.0%,1.3%,3.5%,11.9%,-5.0%,-1.4%,-10.7%,-5.6%,0.4%,4.6%,1.3%,1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Nigeria,"10,510","9,168","11,550","31,228","16,419","16,440","15,008","47,867","24,104","28,649","16,752","69,505","14,411","12,878","20,996","48,285",,-2.2%,3.4%,-21.2%,-8.9%,18.2%,-2.5%,8.6%,7.4%,-5.0%,1.1%,5.4%,-0.1%,3.0%,17.0%,19.3%,13.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Saudi Arabia,"26,930","4,621","9,065","40,616","8,514","11,083","15,189","34,786","28,611","39,464","11,772","79,847","7,830","6,225","10,319","24,374",,-29.7%,-34.5%,-38.2%,-32.4%,-21.8%,-41.6%,3.2%,-22.0%,-35.9%,-33.0%,-28.4%,-33.5%,-8.5%,-22.0%,4.5%,-7.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Panama,"14,085","17,135","9,194","40,414","11,004","10,909","12,603","34,516","11,682","10,955","12,472","35,109","15,279","16,338","15,643","47,260",,-20.0%,-11.2%,-19.1%,-16.3%,-3.7%,-9.8%,-16.2%,-10.5%,-7.3%,-3.6%,-20.1%,-11.3%,-12.0%,8.9%,25.1%,5.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Trinidad And Tobago,"7,857","9,407","8,346","25,610","13,829","12,978","14,652","41,459","19,212","22,166","11,069","52,447","12,501","13,979","17,705","44,185",,11.2%,-0.8%,-36.2%,-13.6%,30.9%,-7.3%,9.3%,9.2%,-3.0%,0.4%,-18.0%,-5.3%,-1.7%,1.1%,1.2%,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Singapore,"9,742","7,319","10,948","28,009","11,200","16,116","15,454","42,770","10,749","11,955","12,310","35,014","12,734","13,258","16,322","42,314",,-10.1%,-9.7%,9.3%,-3.3%,-2.1%,-0.1%,-9.6%,-4.3%,-3.6%,-2.4%,-1.8%,-2.6%,0.7%,2.7%,5.2%,3.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Turkey,"18,338","9,897","14,218","42,453","14,098","15,526","22,268","51,892","15,365","20,657","15,828","51,850","14,552","12,873","10,708","38,133",,-10.2%,-16.5%,-4.4%,-9.9%,-15.9%,-14.0%,-12.7%,-14.0%,-16.9%,30.6%,-31.9%,-9.9%,6.3%,-4.7%,1.0%,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hong Kong,"9,383","4,939","10,859","25,181","13,085","15,266","16,872","45,223","17,905","14,362","12,879","45,146","10,802","9,097","11,719","31,618",,-7.6%,-46.4%,-1.5%,-17.1%,53.9%,15.4%,2.6%,18.5%,22.6%,12.9%,4.6%,13.9%,-0.6%,45.2%,60.2%,29.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Portugal,"9,734","10,333","9,046","29,113","13,928","10,035","10,740","34,703","11,739","15,110","10,870","37,719","11,364","10,845","14,469","36,678",,37.3%,57.7%,-16.0%,19.2%,55.0%,12.3%,0.3%,21.2%,-8.4%,1.7%,-0.8%,-2.3%,8.7%,3.3%,-8.7%,-0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Finland,"12,471","14,584","13,402","40,457","11,950","11,056","14,286","37,292","8,961","7,817","10,220","26,998","15,756","11,794","13,420","40,970",,3.1%,-0.6%,-3.0%,-0.3%,3.5%,-4.4%,-6.0%,-2.7%,-0.2%,-6.6%,-9.6%,-5.8%,-2.7%,-7.6%,-5.5%,-5.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,South Africa,"7,889","5,616","8,487","21,992","9,989","10,017","12,482","32,488","12,879","11,136","11,009","35,024","9,803","8,104","17,075","34,982",,1.8%,-0.5%,3.2%,1.7%,10.9%,-3.4%,-5.7%,-0.4%,12.4%,12.0%,1.3%,8.5%,0.6%,27.7%,35.0%,21.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Haiti,"7,999","8,125","9,241","25,365","11,054","12,055","13,146","36,255","16,208","14,434","9,600","40,242","11,135","10,774","12,231","34,140",,13.5%,-5.1%,-13.4%,-3.5%,2.9%,-8.7%,-9.9%,-5.9%,-12.1%,-10.3%,-19.7%,-13.4%,1.3%,-8.0%,-9.2%,-5.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Vietnam,"9,976","4,192","7,379","21,547","7,843","12,921","14,853","35,617","12,592","16,061","10,004","38,657","8,042","6,503","9,294","23,839",,44.6%,-22.3%,18.9%,16.5%,6.2%,9.5%,15.8%,11.3%,4.4%,9.2%,-0.2%,5.1%,2.3%,3.9%,-1.9%,1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sources: U.S. Department of Commerce, ITA, I&A, National Travel and Tourism Office (NTTO) I-94 Program, Statistics Canada, and Instituto Nacional de Estadística y Geografía/INEGI (Banco de Mexico). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R = Revised data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Released: May 2019 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
