,,Country of Residence (COR)-Based 2012 Monthly/Quarterly I-94 Arrivals Data (F),,,,,,,,,,,,,,,,,Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Europe ,"599,688","729,309","992,686","2,321,683","1,072,833","1,021,413","1,043,777","3,138,023","1,279,844","1,262,761","1,122,248","3,664,853","1,123,092","798,064","884,546","2,805,702",,-2.2%,4.8%,17.5%,na,-12.1%,0.0%,-3.5%,na,-5.6%,-3.2%,-2.4%,na,-8.4%,-3.1%,-2.7%,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia ,"713,198","553,287","648,310","1,914,795","604,739","711,392","740,078","2,056,209","770,025","965,712","775,233","2,510,970","677,823","611,432","697,127","1,986,382",,10.3%,3.9%,20.0%,na,24.5%,16.9%,16.0%,na,1.2%,14.5%,13.2%,na,12.3%,11.4%,16.9%,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South America ,"334,220","288,580","314,907","937,707","331,544","342,351","347,076","1,020,971","344,182","376,873","401,360","1,122,415","404,620","394,983","498,833","1,298,436",,14.8%,26.6%,20.1%,na,11.4%,17.3%,12.7%,na,-8.9%,18.9%,16.3%,na,12.7%,26.4%,21.3%,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caribbean ,"57,591","58,660","73,213","189,464","86,630","88,412","96,361","271,403","110,367","139,420","86,891","336,678","82,821","98,554","118,184","299,559",,-5.3%,11.1%,11.1%,na,-4.6%,11.5%,5.0%,na,-25.9%,6.1%,6.7%,na,-3.7%,7.2%,2.4%,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oceania ,"88,460","66,822","89,315","244,597","105,506","118,732","134,366","358,604","120,477","123,850","167,399","411,726","109,329","86,717","125,278","321,324",,2.4%,5.9%,15.9%,na,-5.0%,-2.7%,4.5%,na,0.6%,7.5%,16.6%,na,6.7%,7.7%,9.1%,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central America ,"58,142","50,142","55,549","163,833","57,980","62,051","74,917","194,948","59,625","59,660","67,117","186,402","68,493","83,104","98,831","250,428",,8.2%,13.9%,14.6%,na,-5.1%,10.8%,7.0%,na,-17.9%,13.6%,6.5%,na,1.5%,10.3%,8.8%,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Middle East ,"83,832","43,959","63,648","191,439","64,656","76,448","123,417","264,521","71,632","127,750","95,141","294,523","80,643","53,873","68,351","202,867",,22.4%,13.0%,30.5%,na,2.3%,21.7%,28.2%,na,-30.7%,27.3%,18.2%,na,7.6%,-3.2%,15.7%,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eastern Europe ,"53,211","40,816","54,675","148,702","63,805","60,528","77,959","202,292","55,216","67,739","65,001","187,956","62,881","57,250","67,728","187,859",,6.4%,7.8%,9.2%,na,13.3%,6.0%,7.2%,na,-21.0%,6.9%,8.1%,na,4.9%,10.6%,14.6%,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa ,"22,959","17,598","23,917","64,474","31,203","34,564","37,735","103,502","36,731","50,745","35,649","123,125","27,991","25,032","39,513","92,536",,0.3%,11.4%,16.1%,na,21.4%,8.2%,14.5%,na,-8.0%,18.0%,16.6%,na,5.2%,15.6%,17.7%,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOP 50 Overseas Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,United Kingdom,"185,546","239,277","341,964","766,787","316,854","334,979","328,645","980,478","352,644","394,608","387,206","1,134,458","379,835","262,651","281,472","923,958",,-6.2%,-0.7%,25.8%,7.9%,-23.1%,-4.4%,1.9%,-9.6%,-4.9%,1.1%,-0.8%,-1.5%,-5.2%,-1.7%,-3.2%,-3.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Japan,"279,921","301,527","348,599","930,047","253,148","261,738","286,967","801,853","327,354","425,620","349,837","1,102,811","317,117","299,911","319,824","936,852",,0.9%,3.1%,20.3%,8.2%,26.6%,23.2%,19.9%,23.0%,10.8%,14.8%,9.3%,11.8%,12.5%,10.6%,15.1%,12.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"China, PRC","161,730","66,041","84,185","311,956","100,429","118,026","121,226","339,681","152,607","211,652","151,130","515,389","111,714","87,084","99,679","298,477",,56.8%,3.8%,47.8%,39.4%,57.7%,32.8%,42.1%,42.8%,9.4%,36.8%,33.1%,26.4%,23.8%,18.2%,26.0%,22.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,South Korea,"123,371","91,386","84,561","299,318","88,266","104,367","116,625","309,258","130,245","131,807","103,249","365,301","104,436","99,150","117,606","321,192",,-1.3%,9.9%,12.9%,5.7%,18.8%,3.9%,6.4%,8.7%,-5.0%,1.8%,8.5%,1.0%,11.9%,14.3%,15.5%,13.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Brazil,"172,897","123,169","118,631","414,697","136,291","137,733","127,871","401,895","142,961","128,586","153,710","425,257","162,986","159,213","208,892","531,091",,17.8%,42.6%,4.6%,19.6%,20.2%,22.7%,13.0%,18.7%,-7.3%,19.5%,14.5%,7.4%,11.6%,32.7%,21.7%,21.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Germany,"93,795","105,493","175,029","374,317","156,858","187,733","158,813","503,404","179,451","207,107","208,484","595,042","191,064","118,006","129,608","438,678",,5.8%,14.4%,29.2%,18.4%,-10.5%,12.5%,-11.0%,-3.3%,1.5%,1.4%,3.1%,2.0%,-7.3%,-4.7%,4.6%,-3.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,France,"68,740","100,446","98,479","267,665","179,081","128,377","117,587","425,045","186,949","178,230","115,512","480,691","122,549","88,606","100,176","311,331",,-6.3%,3.4%,2.9%,0.6%,6.0%,1.0%,-5.8%,1.0%,-10.2%,-5.4%,-5.3%,-7.3%,-17.2%,-0.8%,-7.3%,-9.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,India,"53,466","38,098","49,395","140,959","67,265","106,374","87,945","261,584","63,315","74,421","65,351","203,087","51,117","42,779","48,307","142,203",,0.3%,7.0%,10.3%,5.4%,8.3%,17.4%,4.4%,10.4%,-9.6%,3.6%,16.5%,2.6%,9.2%,6.1%,19.7%,11.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Australia,"76,580","57,820","78,348","212,748","88,595","100,747","109,932","299,274","96,938","102,067","143,795","342,800","92,573","75,120","109,096","276,789",,5.5%,8.2%,19.7%,11.1%,-5.5%,-1.3%,3.5%,-0.9%,6.4%,9.7%,16.1%,11.3%,10.0%,11.4%,9.7%,10.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Italy,"47,834","42,060","58,907","148,801","65,414","59,750","75,543","200,707","96,768","139,443","66,417","302,628","60,890","56,679","74,146","191,715",,-5.4%,7.0%,-3.6%,-1.5%,1.1%,-7.8%,-4.8%,-3.9%,-9.6%,-13.2%,-4.9%,-10.3%,-7.7%,-8.0%,-10.4%,-8.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Argentina,"51,889","49,509","49,778","151,176","53,778","55,669","45,883","155,330","48,413","50,755","62,890","162,058","50,524","40,735","48,892","140,151",,20.0%,14.0%,35.3%,22.4%,23.3%,15.7%,22.1%,20.1%,-6.2%,23.2%,20.6%,11.8%,9.2%,16.1%,25.5%,16.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Colombia,"31,914","25,868","44,206","101,988","41,817","43,134","75,460","160,411","47,619","46,385","46,128","140,132","59,078","55,586","80,940","195,604",,4.4%,20.0%,50.9%,25.2%,-4.5%,23.1%,14.7%,10.9%,-12.9%,27.8%,26.1%,9.9%,21.2%,32.0%,34.1%,29.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Spain,"31,651","32,255","51,965","115,871","51,816","44,010","58,401","154,227","71,030","81,899","53,761","206,690","49,000","45,019","49,834","143,853",,-6.9%,-4.7%,10.1%,0.7%,-19.6%,-7.3%,-13.3%,-14.0%,-19.2%,-16.9%,-17.3%,-17.8%,-18.1%,0.1%,-18.7%,-13.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Netherlands,"31,294","36,492","39,318","107,104","57,885","56,503","49,366","163,754","90,910","52,952","56,012","199,874","58,763","39,308","40,274","138,345",,3.1%,8.0%,-5.5%,1.2%,2.8%,-0.3%,-1.5%,0.4%,-3.0%,-3.4%,-3.1%,-3.1%,-4.9%,-6.0%,-3.7%,-4.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ireland,"15,938","20,483","30,257","66,678","24,663","26,227","36,711","87,601","32,186","28,282","30,930","91,398","32,150","32,277","24,959","89,386",,-15.2%,-3.4%,5.6%,-2.9%,-21.4%,-3.1%,0.0%,-7.9%,-8.2%,2.0%,-9.4%,-5.7%,-5.5%,-3.4%,-2.1%,-3.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sweden,"25,980","31,946","38,880","96,806","46,599","35,211","47,503","129,313","34,184","25,766","33,387","93,337","49,430","31,550","45,405","126,385",,3.3%,9.5%,13.5%,9.3%,-6.6%,-1.7%,-1.5%,-3.5%,-7.3%,0.1%,-3.8%,-4.1%,-4.7%,-6.7%,20.5%,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Venezuela,"33,963","32,722","46,365","113,050","45,085","40,794","43,801","129,680","46,670","82,393","65,525","194,588","60,390","76,279","96,974","233,643",,14.4%,26.4%,40.2%,27.5%,6.2%,18.0%,24.5%,15.6%,4.8%,16.6%,11.4%,11.8%,16.8%,25.6%,14.2%,18.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Taiwan,"34,115","15,928","18,896","68,939","19,231","24,339","32,053","75,623","28,463","30,408","24,539","83,410","21,496","20,931","22,586","65,013",,14.3%,-7.6%,3.1%,5.4%,18.5%,-3.5%,-2.6%,1.7%,-30.9%,-7.9%,-7.9%,-17.3%,-11.7%,17.8%,32.8%,10.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Switzerland,"21,753","24,672","30,251","76,676","52,445","40,516","37,225","130,186","74,309","39,160","46,494","159,963","47,701","30,436","36,141","114,278",,5.3%,7.8%,9.8%,7.9%,2.2%,10.2%,0.9%,4.1%,-0.0%,-0.8%,-2.3%,-0.9%,-17.7%,-2.2%,-1.5%,-9.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Dominican Republic,"13,642","13,191","19,660","46,493","20,361","17,062","24,822","62,245","23,655","22,664","20,799","67,118","19,540","19,772","27,092","66,404",,-7.8%,10.5%,44.5%,15.3%,-7.5%,5.2%,13.7%,3.6%,-19.9%,9.6%,8.7%,-3.2%,1.8%,2.8%,0.5%,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ecuador,"9,149","17,184","20,050","46,383","17,559","16,730","13,189","47,478","13,911","24,207","19,255","57,373","19,738","20,917","15,753","56,408",,-2.1%,20.3%,4.8%,8.4%,-6.3%,-4.3%,-11.6%,-7.1%,-32.0%,6.5%,2.7%,-7.4%,-7.4%,1.4%,0.5%,-2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Israel,"18,732","16,373","24,216","59,321","25,026","24,448","28,886","78,360","26,115","31,123","41,684","98,922","25,121","18,632","20,526","64,279",,1.3%,5.6%,38.7%,15.3%,-18.1%,13.5%,-2.7%,-4.2%,-32.4%,-6.6%,30.6%,-4.8%,-26.3%,-5.5%,4.8%,-12.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Chile,"13,405","17,713","11,528","42,646","12,798","16,888","14,591","44,277","16,150","14,326","23,108","53,584","18,191","12,606","16,240","47,037",,0.4%,7.2%,6.2%,4.7%,10.8%,1.3%,-0.4%,3.2%,-15.2%,7.8%,22.3%,4.6%,12.4%,18.6%,33.6%,20.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Denmark,"14,868","19,204","26,588","60,660","21,242","19,819","24,379","65,440","40,834","17,848","24,273","82,955","32,829","16,980","15,254","65,063",,8.9%,8.7%,43.7%,21.8%,-24.2%,1.4%,-13.4%,-13.6%,-1.8%,1.9%,-3.7%,-1.6%,-7.8%,-4.8%,2.2%,-4.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Costa Rica,"18,983","9,281","12,292","40,556","12,643","12,643","13,609","38,895","14,522","10,716","15,856","41,094","15,648","16,541","25,291","57,480",,10.3%,9.9%,38.2%,17.3%,-15.6%,7.0%,6.3%,-1.8%,-17.5%,12.8%,2.4%,-3.5%,2.5%,7.9%,9.9%,7.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Philippines,"7,918","8,312","16,432","32,662","21,233","22,146","15,289","58,668","11,676","12,979","15,601","40,256","17,221","13,487","17,422","48,130",,1.4%,5.0%,20.5%,11.2%,-5.7%,4.0%,13.9%,2.5%,-16.1%,9.0%,6.6%,-0.5%,3.6%,0.6%,14.4%,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,New Zealand,"10,656","7,945","9,751","28,352","15,512","16,294","22,902","54,708","21,929","20,167","22,272","64,368","15,542","10,307","14,468","40,317",,-12.0%,-5.8%,-5.2%,-8.1%,-2.0%,-11.8%,10.7%,-0.5%,-17.4%,0.4%,23.5%,-0.4%,-7.0%,-11.4%,5.7%,-4.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Peru,"11,394","14,577","13,632","39,603","13,272","20,138","12,804","46,214","14,305","15,103","14,342","43,750","22,236","17,200","18,879","58,315",,10.1%,7.0%,11.6%,9.4%,4.2%,11.3%,-5.0%,4.3%,-23.9%,23.6%,16.2%,0.9%,14.7%,25.2%,10.2%,16.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Belgium,"13,283","16,740","21,307","51,330","25,801","22,073","22,532","70,406","34,567","26,144","25,765","86,476","22,300","15,229","16,980","54,509",,-2.4%,21.0%,2.5%,6.4%,-13.2%,2.3%,2.0%,-4.0%,1.5%,9.6%,-2.4%,2.6%,-8.8%,-8.1%,1.2%,-5.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Jamaica,"7,788","8,174","10,011","25,973","12,915","13,956","14,348","41,219","17,935","18,942","12,309","49,186","11,465","15,527","17,230","44,222",,-8.1%,8.0%,1.3%,0.2%,-2.0%,12.2%,8.3%,6.1%,-28.6%,3.6%,7.2%,-10.4%,-4.1%,12.0%,6.6%,5.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Norway,"13,533","19,063","28,369","60,965","22,300","18,270","34,211","74,781","32,737","15,327","24,639","72,703","23,548","17,175","16,915","57,638",,9.9%,19.2%,51.6%,29.7%,-27.0%,-0.0%,4.8%,-8.2%,6.4%,2.7%,6.0%,5.5%,-3.7%,7.5%,11.3%,3.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bahamas,"11,508","11,767","13,579","36,854","16,253","17,517","16,268","50,038","16,545","35,893","13,439","65,877","15,505","20,462","26,939","62,906",,-4.5%,-1.1%,13.3%,2.6%,-6.2%,12.3%,-6.8%,-0.7%,-45.6%,3.1%,4.1%,-15.7%,-6.0%,4.8%,-1.5%,-0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Guatemala,"10,221","9,646","14,185","34,052","13,759","15,299","19,953","49,011","11,598","13,898","14,427","39,923","18,336","26,458","25,536","70,330",,0.9%,6.2%,25.4%,11.6%,-5.3%,6.0%,3.9%,1.8%,-12.7%,12.5%,6.6%,1.9%,1.6%,5.7%,4.7%,4.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Russia,"20,107","13,762","20,876","54,745","22,656","18,774","24,935","66,365","18,363","22,140","22,225","62,728","23,242","21,110","30,178","74,530",,4.6%,10.8%,15.8%,10.2%,15.6%,10.7%,19.5%,15.6%,-17.3%,15.8%,31.5%,7.7%,15.2%,21.3%,26.2%,21.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Honduras,"7,656","6,837","9,363","23,856","9,472","10,231","14,458","34,161","11,693","12,275","10,344","34,312","9,561","10,791","16,120","36,472",,7.1%,15.9%,18.5%,13.9%,-5.4%,24.0%,15.3%,10.9%,-15.6%,15.4%,0.2%,-1.5%,3.8%,5.1%,6.3%,5.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,El Salvador,"4,652","5,234","7,217","17,103","7,603","9,283","9,904","26,790","7,858","7,825","8,332","24,015","8,690","10,037","12,720","31,447",,-4.8%,-9.2%,8.7%,-1.1%,-14.0%,9.1%,-0.9%,-2.0%,-34.4%,11.0%,1.9%,-11.7%,7.6%,16.3%,15.5%,13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Poland,"8,083","6,312","7,355","21,750","10,882","9,704","12,757","33,343","9,059","10,752","10,517","30,328","8,879","8,588","7,297","24,764",,8.2%,-6.3%,-0.8%,0.6%,17.6%,0.1%,-9.8%,0.8%,-35.2%,-0.4%,-4.6%,-15.3%,4.1%,6.0%,9.5%,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Austria,"9,578","12,813","15,940","38,331","15,839","16,181","14,474","46,494","21,072","20,748","16,649","58,469","16,001","12,538","13,974","42,513",,7.8%,13.2%,34.5%,19.6%,-10.9%,2.6%,4.8%,-1.8%,-6.1%,5.9%,-4.1%,-1.5%,-5.1%,-0.8%,-5.8%,-4.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Nigeria,"4,797","4,282","5,766","14,845","9,276","9,033","7,583","25,892","9,634","18,334","9,392","37,360","7,922","7,313","9,870","25,105",,-1.4%,12.1%,18.5%,9.5%,43.7%,7.0%,20.5%,22.2%,-3.6%,28.4%,29.3%,18.4%,15.5%,32.8%,49.7%,32.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Saudi Arabia,"25,765","5,959","10,401","42,125","8,302","14,532","36,175","59,009","8,095","39,321","17,186","64,602","14,625","6,021","12,591","33,237",,58.4%,16.4%,44.0%,47.2%,25.1%,47.1%,85.3%,63.7%,-51.3%,87.0%,0.7%,18.1%,38.4%,3.7%,20.3%,23.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Panama,"12,417","15,375","8,001","35,793","9,667","9,591","11,424","30,682","7,914","9,225","12,584","29,723","11,163","12,855","12,061","36,079",,18.1%,38.5%,-19.1%,13.6%,20.6%,13.6%,12.5%,15.3%,-18.9%,16.9%,21.4%,6.1%,-9.7%,15.5%,13.3%,5.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Trinidad And Tobago,"6,986","7,441","8,891","23,318","10,332","11,405","12,400","34,137","14,052","20,267","11,304","45,623","10,203","12,570","14,937","37,710",,3.7%,45.5%,2.9%,13.8%,-2.2%,16.2%,10.8%,8.1%,-21.1%,13.7%,5.1%,-1.6%,-2.5%,10.0%,6.9%,5.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Singapore,"10,261","8,079","10,957","29,297","12,103","18,318","19,979","50,400","11,412","12,078","12,690","36,180","13,325","14,695","20,169","48,189",,-1.6%,0.8%,8.8%,2.7%,10.0%,4.0%,9.0%,7.4%,-6.5%,1.2%,-1.1%,-2.1%,-0.5%,-4.9%,-7.1%,-4.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Turkey,"14,560","7,975","9,875","32,410","11,105","12,181","16,656","39,942","10,724","14,428","11,561","36,713","16,857","10,559","8,825","36,241",,11.3%,14.8%,12.6%,12.6%,16.6%,9.9%,23.1%,17.0%,-15.2%,-4.9%,16.4%,-2.7%,54.2%,-16.0%,13.2%,15.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hong Kong,"13,500","6,589","9,446","29,535","9,134","12,706","14,019","35,859","13,069","14,238","12,685","39,992","9,508","7,922","9,890","27,320",,10.2%,-17.4%,17.3%,4.4%,3.4%,2.9%,0.5%,2.1%,-18.1%,4.4%,7.8%,-3.3%,3.7%,-3.7%,12.1%,4.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Portugal,"5,433","5,634","8,682","19,749","7,607","7,738","8,904","24,249","8,799","10,799","8,457","28,055","7,764","7,384","8,362","23,510",,-1.8%,20.3%,25.0%,15.1%,-29.9%,-3.8%,-5.6%,-14.4%,-12.9%,-8.5%,-3.2%,-8.5%,-5.2%,-1.9%,-7.6%,-5.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Finland,"8,610","11,345","11,560","31,515","11,606","9,300","14,556","35,462","9,921","6,758","8,978","25,657","12,213","8,982","12,884","34,079",,1.7%,4.3%,10.2%,5.6%,6.4%,-0.2%,3.5%,3.4%,3.3%,-10.8%,6.9%,0.3%,-2.8%,-2.4%,12.2%,2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,South Africa,"5,871","4,855","7,331","18,057","8,317","8,599","12,749","29,665","8,275","8,357","9,427","26,059","7,099","6,067","14,109","27,275",,-0.3%,16.1%,23.7%,12.9%,6.3%,12.4%,18.3%,13.0%,-8.1%,5.8%,13.4%,3.3%,-0.7%,5.9%,9.3%,5.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Haiti,"4,658","5,543","5,918","16,119","6,388","8,093","6,994","21,475","8,556","7,797","8,503","24,856","6,835","7,558","8,560","22,953",,-8.3%,22.4%,-2.9%,2.7%,-6.5%,16.9%,-6.0%,1.3%,-20.1%,-6.7%,18.2%,-5.3%,4.8%,21.6%,10.4%,12.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Vietnam,"4,324","1,886","3,125","9,335","3,357","5,602","6,500","15,459","5,243","8,521","5,973","19,737","3,715","3,243","4,563","11,521",,22.3%,-11.9%,2.8%,7.1%,15.7%,28.7%,20.8%,22.3%,-4.5%,8.0%,24.9%,8.7%,25.6%,21.6%,33.7%,27.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sources: U.S. Department of Commerce, ITA, I&A, National Travel and Tourism Office (NTTO) I-94 Program, Statistics Canada, and Instituto Nacional de Estadística y Geografía/INEGI (Banco de Mexico). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F = Final data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
