,,Country of Residence (COR)-Based 2013 Monthly/Quarterly I-94 Arrivals Data (F),,,,,,,,,,,,,,,,,Percent Change,,,,,,,,,,,,,,,,,
19,Venezuela,"46,246","46,631","62,065","154,942","46,733","52,708","56,260","155,701","68,802","84,878","80,905","234,585","82,096","86,416","101,614","270,126",,36.2%,42.5%,33.9%,37.1%,3.7%,29.2%,28.4%,20.1%,47.4%,3.0%,23.5%,20.6%,35.9%,13.3%,4.8%,15.6%,21.5%,
20,Taiwan,"32,044","29,916","24,245","86,205","25,279","33,385","47,189","105,853","51,194","42,156","38,390","131,740","32,308","25,691","25,795","83,794",,-6.1%,87.8%,28.3%,25.0%,31.4%,37.2%,47.2%,40.0%,79.9%,38.6%,56.4%,57.9%,50.3%,22.7%,14.2%,28.9%,39.1%,
21,Switzerland,"22,566","25,454","37,796","85,816","48,982","40,395","37,856","127,233","71,705","40,107","48,582","160,394","49,101","33,420","39,852","122,373",,3.7%,3.2%,24.9%,11.9%,-6.6%,-0.3%,1.7%,-2.3%,-3.5%,2.4%,4.5%,0.3%,2.9%,9.8%,10.3%,7.1%,3.1%,
22,Dominican Republic,"13,808","13,324","22,856","49,988","17,050","19,071","22,484","58,605","30,142","25,335","20,001","75,478","20,056","21,416","28,590","70,062",,1.2%,1.0%,16.3%,7.5%,-16.3%,11.8%,-9.4%,-5.8%,27.4%,11.8%,-3.8%,12.5%,2.6%,8.3%,5.5%,5.5%,4.9%,
23,Ecuador,"11,735","21,995","24,778","58,508","22,749","21,120","15,408","59,277","23,413","29,496","24,220","77,129","25,017","24,445","20,634","70,096",,28.3%,28.0%,23.6%,26.1%,29.6%,26.2%,16.8%,24.9%,68.3%,21.8%,25.8%,34.4%,26.7%,16.9%,31.0%,24.3%,27.6%,
24,Israel,"19,090","15,886","30,066","65,042","21,547","27,405","31,068","80,020","41,688","36,230","43,883","121,801","30,259","26,508","22,121","78,888",,1.9%,-3.0%,24.2%,9.6%,-13.9%,12.1%,7.6%,2.1%,59.6%,16.4%,5.3%,23.1%,20.5%,42.3%,7.8%,22.7%,14.9%,
25,Chile,"16,207","23,143","14,784","54,134","17,441","22,895","18,128","58,464","21,945","18,018","23,371","63,334","18,758","13,774","16,872","49,404",,20.9%,30.7%,28.2%,26.9%,36.3%,35.6%,24.2%,32.0%,35.9%,25.8%,1.1%,18.2%,3.1%,9.3%,3.9%,5.0%,20.2%,
26,Denmark,"15,180","18,693","25,618","59,491","21,344","20,373","25,741","67,458","42,462","18,626","24,027","85,115","33,190","17,006","17,382","67,578",,2.1%,-2.7%,-3.6%,-1.9%,0.5%,2.8%,5.6%,3.1%,4.0%,4.4%,-1.0%,2.6%,1.1%,0.2%,14.0%,3.9%,2.0%,
27,Costa Rica,"20,466","9,558","15,033","45,057","12,505","13,078","13,321","38,904","17,125","11,751","16,283","45,159","16,200","17,957","30,080","64,237",,7.8%,3.0%,22.3%,11.1%,-1.1%,3.4%,-2.1%,0.0%,17.9%,9.7%,2.7%,9.9%,3.5%,8.6%,18.9%,11.8%,8.6%,
28,Philippines,"9,020","10,007","19,461","38,488","21,385","24,967","19,523","65,875","19,043","18,664","17,396","55,103","20,612","16,110","20,510","57,232",,13.9%,20.4%,18.4%,17.8%,0.7%,12.7%,27.7%,12.3%,63.1%,43.8%,11.5%,36.9%,19.7%,19.4%,17.7%,18.9%,20.6%,
29,New Zealand,"12,694","9,766","11,718","34,178","19,895","21,462","24,612","65,969","32,480","27,923","31,233","91,636","21,028","13,705","17,762","52,495",,19.1%,22.9%,20.2%,20.5%,28.3%,31.7%,7.5%,20.6%,48.1%,38.5%,40.2%,42.4%,35.3%,33.0%,22.8%,30.2%,30.1%,
30,Peru,"14,788","19,502","16,899","51,189","16,279","23,219","14,765","54,263","22,929","17,921","15,817","56,667","25,623","19,683","23,595","68,901",,29.8%,33.8%,24.0%,29.3%,22.7%,15.3%,15.3%,17.4%,60.3%,18.7%,10.3%,29.5%,15.2%,14.4%,25.0%,18.2%,23.0%,
31,Belgium,"14,125","16,685","25,232","56,042","26,376","22,588","23,451","72,415","37,073","26,565","26,566","90,204","23,645","16,468","18,550","58,663",,6.3%,-0.3%,18.4%,9.2%,2.2%,2.3%,4.1%,2.9%,7.2%,1.6%,3.1%,4.3%,6.0%,8.1%,9.2%,7.6%,5.6%,
32,Jamaica,"8,811","8,758","12,924","30,493","11,273","14,705","15,426","41,404","27,508","22,386","11,960","61,854","12,888","15,641","18,187","46,716",,13.1%,7.1%,29.1%,17.4%,-12.7%,5.4%,7.5%,0.4%,53.4%,18.2%,-2.8%,25.8%,12.4%,0.7%,5.6%,5.6%,12.4%,
33,Norway,"14,639","20,331","31,438","66,408","21,850","22,041","39,360","83,251","37,532","16,958","27,435","81,925","25,284","19,484","20,658","65,426",,8.2%,6.7%,10.8%,8.9%,-2.0%,20.6%,15.1%,11.3%,14.6%,10.6%,11.3%,12.7%,7.4%,13.4%,22.1%,13.5%,11.6%,
34,Bahamas,"13,536","13,254","16,444","43,234","14,498","16,274","16,288","47,060","28,433","38,543","13,164","80,140","16,414","18,520","23,948","58,882",,17.6%,12.6%,21.1%,17.3%,-10.8%,-7.1%,0.1%,-6.0%,71.9%,7.4%,-2.0%,21.7%,5.9%,-9.5%,-11.1%,-6.4%,6.3%,
35,Guatemala,"10,915","10,274","15,906","37,095","13,025","15,893","19,960","48,878","14,738","14,350","14,533","43,621","20,044","30,922","30,543","81,509",,6.8%,6.5%,12.1%,8.9%,-5.3%,3.9%,0.0%,-0.3%,27.1%,3.3%,0.7%,9.3%,9.3%,16.9%,19.6%,15.9%,9.2%,
36,Russia,"27,512","19,259","26,877","73,648","30,142","25,592","31,243","86,977","31,023","29,180","26,788","86,991","31,833","30,887","39,831","102,551",,36.8%,39.9%,28.7%,34.5%,33.0%,36.3%,25.3%,31.1%,68.9%,31.8%,20.5%,38.7%,37.0%,46.3%,32.0%,37.6%,35.5%,
37,Honduras,"8,254","7,428","10,518","26,200","9,008","11,046","15,288","35,342","14,821","13,321","11,390","39,532","11,410","13,340","20,752","45,502",,7.8%,8.6%,12.3%,9.8%,-4.9%,8.0%,5.7%,3.5%,26.8%,8.5%,10.1%,15.2%,19.3%,23.6%,28.7%,24.8%,13.8%,
38,El Salvador,"5,222","5,538","8,960","19,720","7,042","9,741","9,576","26,359","10,242","8,806","8,400","27,448","9,277","11,711","15,222","36,210",,12.3%,5.8%,24.2%,15.3%,-7.4%,4.9%,-3.3%,-1.6%,30.3%,12.5%,0.8%,14.3%,6.8%,16.7%,19.7%,15.1%,10.4%,
39,Poland,"8,076","6,956","7,720","22,752","12,114","11,989","16,575","40,678","15,030","14,281","13,142","42,453","11,174","10,462","10,189","31,825",,-0.1%,10.2%,5.0%,4.6%,11.3%,23.5%,29.9%,22.0%,65.9%,32.8%,25.0%,40.0%,25.8%,21.8%,39.6%,28.5%,25.0%,
40,Austria,"10,130","12,494","17,223","39,847","16,045","17,262","14,466","47,773","23,167","22,185","17,970","63,322","16,018","13,375","15,275","44,668",,5.8%,-2.5%,8.0%,4.0%,1.3%,6.7%,-0.1%,2.8%,9.9%,6.9%,7.9%,8.3%,0.1%,6.7%,9.3%,5.1%,5.3%,
41,Nigeria,"6,849","5,226","8,718","20,793","9,219","12,993","10,180","32,392","18,108","25,557","14,459","58,124","12,659","10,132","12,814","35,605",,42.8%,22.0%,51.2%,40.1%,-0.6%,43.8%,34.2%,25.1%,88.0%,39.4%,54.0%,55.6%,59.8%,38.5%,29.8%,41.8%,42.4%,
42,Saudi Arabia,"30,859","7,282","13,067","51,208","9,205","16,516","34,156","59,877","9,789","58,237","17,610","85,636","14,201","7,328","14,160","35,689",,19.8%,22.2%,25.6%,21.6%,10.9%,13.7%,-5.6%,1.5%,20.9%,48.1%,2.5%,32.6%,-2.9%,21.7%,12.5%,7.4%,16.8%,
43,Panama,"14,706","16,350","10,363","41,419","10,535","12,721","9,628","32,884","10,222","12,696","11,978","34,896","12,763","15,533","14,026","42,322",,18.4%,6.3%,29.5%,15.7%,9.0%,32.6%,-15.7%,7.2%,29.2%,37.6%,-4.8%,17.4%,14.3%,20.8%,16.3%,17.3%,14.5%,
44,Trinidad And Tobago,"7,065","7,690","11,069","25,824","9,530","11,364","11,208","32,102","16,746","19,221","11,043","47,010","10,825","12,571","15,302","38,698",,1.1%,3.3%,24.5%,10.7%,-7.8%,-0.4%,-9.6%,-6.0%,19.2%,-5.2%,-2.3%,3.0%,6.1%,0.0%,2.4%,2.6%,2.0%,
45,Singapore,"11,058","8,447","11,780","31,285","12,186","17,087","19,123","48,396","11,413","11,659","12,059","35,131","12,283","14,109","17,986","44,378",,7.8%,4.6%,7.5%,6.8%,0.7%,-6.7%,-4.3%,-4.0%,0.0%,-3.5%,-5.0%,-2.9%,-7.8%,-4.0%,-10.8%,-7.9%,-3.0%,
46,Turkey,"15,978","8,645","11,622","36,245","14,092","14,146","17,776","46,014","13,515","15,195","12,061","40,771","24,209","11,349","9,612","45,170",,9.7%,8.4%,17.7%,11.8%,26.9%,16.1%,6.7%,15.2%,26.0%,5.3%,4.3%,11.1%,43.6%,7.5%,8.9%,24.6%,15.8%,
47,Hong Kong,"11,871","10,220","10,441","32,532","9,238","11,405","12,666","33,309","14,109","12,419","10,280","36,808","8,437","7,351","8,450","24,238",,-12.1%,55.1%,10.5%,10.1%,1.1%,-10.2%,-9.7%,-7.1%,8.0%,-12.8%,-19.0%,-8.0%,-11.3%,-7.2%,-14.6%,-11.3%,-4.4%,
48,Portugal,"5,841","5,684","9,129","20,654","7,849","7,927","8,960","24,736","9,166","11,697","8,781","29,644","8,921","8,705","9,994","27,620",,7.5%,0.9%,5.1%,4.6%,3.2%,2.4%,0.6%,2.0%,4.2%,8.3%,3.8%,5.7%,14.9%,17.9%,19.5%,17.5%,7.4%,
49,Finland,"9,184","11,933","12,320","33,437","11,717","9,277","14,785","35,779","9,612","7,505","9,520","26,637","13,077","10,170","14,787","38,034",,6.7%,5.2%,6.6%,6.1%,1.0%,-0.2%,1.6%,0.9%,-3.1%,11.1%,6.0%,3.8%,7.1%,13.2%,14.8%,11.6%,5.7%,
50,South Africa,"6,329","4,897","7,594","18,820","8,072","9,700","14,041","31,813","10,174","9,993","10,491","30,658","8,052","7,193","15,585","30,830",,7.8%,0.9%,3.6%,4.2%,-2.9%,12.8%,10.1%,7.2%,22.9%,19.6%,11.3%,17.6%,13.4%,18.6%,10.5%,13.0%,10.9%,
51,Haiti,"5,134","6,004","7,388","18,526","7,224","8,812","8,106","24,142","10,651","9,345","8,192","28,188","7,623","8,344","10,050","26,017",,10.2%,8.3%,24.8%,14.9%,13.1%,8.9%,15.9%,12.4%,24.5%,19.9%,-3.7%,13.4%,11.5%,10.4%,17.4%,13.3%,13.4%,
52,Vietnam,"4,131","2,968","3,797","10,896","4,556","6,844","7,596","18,996","7,332","9,615","6,648","23,595","4,309","3,426","5,407","13,142",,-4.5%,57.4%,21.5%,16.7%,35.7%,22.2%,16.9%,22.9%,39.8%,12.8%,11.3%,19.5%,16.0%,5.6%,18.5%,14.1%,18.9%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sources: U.S. Department of Commerce, ITA, I&A, National Travel and Tourism Office (NTTO) I-94 Program, Statistics Canada, and Instituto Nacional de Estadística y Geografía/INEGI (Banco de Mexico).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F = Final data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Released: May 2019 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
