,,Country of Residence (COR)-Based 2015 Monthly/Quarterly I-94 Arrivals Data (F),,,,,,,,,,,,,,,,,Percent Change,,,,,,,,,,,,,,,,,,,,,
,Middle East ,123215,58554,97356,279125,89696,108731,116901,315328,182377,179570,141541,503488,96204,83058,91331,270593,,13.8%,7.8%,20.7%,14.7%,2.7%,8.2%,-2.2%,2.6%,26.7%,-1.2%,22.7%,14.1%,-7.4%,14.9%,5.9%,3.1%,,,,,,
,Eastern Europe ,"71,322","53,959","68,465","193,746","78,632","84,869","99,111","262,612","89,480","87,355","88,566","265,401","86,665","75,520","83,470","245,655",,-8.9%,-9.9%,-13.1%,-10.7%,-5.8%,0.7%,-3.0%,-2.7%,-2.4%,-0.6%,7.4%,1.3%,10.3%,10.2%,3.2%,7.8%,,,,,,
,Africa ,"33,756","24,403","36,758","94,917","41,567","52,882","48,678","143,127","69,085","76,943","50,809","196,837","46,763","36,143","54,790","137,696",,11.6%,5.8%,12.1%,10.2%,3.3%,8.3%,3.1%,5.0%,11.4%,1.5%,4.9%,5.7%,14.1%,10.9%,8.0%,10.7%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOP 50 Overseas Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,United Kingdom,"206,833","249,942","378,833","835,608","413,856","456,290","403,778","1,273,924","501,603","542,259","493,927","1,537,789","545,370","384,431","338,257","1,268,058",,0.6%,2.4%,27.4%,11.8%,3.4%,22.7%,20.8%,15.1%,25.8%,23.0%,22.1%,23.6%,23.2%,24.3%,7.1%,18.8%,,,,,,
4,Japan,"264,598","292,450","350,837","907,885","261,038","293,158","295,268","849,464","332,040","394,284","378,325","1,104,649","327,359","304,836","298,804","930,999",,-6.7%,8.6%,-2.0%,-0.3%,6.2%,12.7%,1.9%,6.8%,4.7%,-2.4%,10.2%,3.8%,4.6%,6.6%,5.4%,5.5%,,,,,,
5,"China, PRC","220,972","202,542","153,262","576,776","161,774","225,832","215,206","602,812","319,205","360,291","271,200","950,696","180,054","146,552","171,680","498,286",,-4.5%,66.5%,19.2%,19.8%,15.7%,21.7%,14.7%,17.5%,13.1%,14.7%,26.6%,17.3%,23.3%,17.6%,15.2%,18.7%,,,,,,
6,South Korea,"160,175","118,912","113,589","392,676","132,226","154,737","147,947","434,910","176,272","161,642","146,037","483,951","153,690","145,991","164,238","463,919",,10.4%,42.0%,16.9%,20.4%,22.4%,29.4%,10.6%,20.3%,18.3%,7.4%,21.3%,15.3%,21.2%,38.2%,23.0%,26.8%,,,,,,
7,Brazil,"248,768","171,284","157,140","577,192","180,463","189,738","170,175","540,376","212,975","168,889","174,611","556,475","185,339","146,082","222,827","554,248",,15.0%,12.2%,-5.1%,8.0%,-7.8%,0.4%,22.4%,3.2%,17.4%,-10.2%,-9.7%,-1.1%,-8.8%,-22.1%,-15.1%,-15.2%,,,,,,
8,Germany,"105,019","116,104","205,212","426,335","184,859","244,412","172,621","601,892","217,080","247,876","233,027","697,983","253,731","169,468","135,503","558,702",,7.2%,6.1%,32.6%,17.7%,-7.7%,28.2%,10.1%,9.9%,13.4%,0.8%,5.1%,5.9%,16.6%,16.3%,-4.2%,10.7%,,,,,,
9,France,"77,049","108,396","107,655","293,100","203,121","170,564","135,151","508,836","227,717","202,284","138,739","568,740","178,463","107,990","110,214","396,667",,-1.3%,3.2%,-11.4%,-3.8%,10.6%,11.0%,4.3%,9.0%,8.5%,-1.7%,12.3%,5.5%,12.1%,14.1%,-1.2%,8.6%,,,,,,
10,India,"80,022","53,274","69,103","202,399","98,792","162,644","133,701","395,137","116,325","128,317","93,431","338,073","80,485","60,841","70,758","212,084",,23.4%,16.8%,13.5%,18.1%,20.0%,20.4%,14.5%,18.2%,12.2%,15.6%,14.2%,14.0%,25.5%,9.6%,10.5%,15.5%,,,,,,
11,Australia,"99,273","67,460","93,814","260,547","114,618","143,084","139,813","397,515","136,695","136,404","167,433","440,532","129,276","96,904","128,329","354,509",,7.2%,3.2%,19.3%,10.1%,4.3%,18.9%,7.5%,10.4%,16.5%,13.7%,12.0%,13.9%,15.6%,8.7%,3.3%,9.0%,,,,,,
12,Italy,"53,866","47,842","67,473","169,181","79,536","81,824","96,079","257,439","109,810","158,616","87,856","356,282","88,143","77,778","96,601","262,522",,1.3%,0.3%,6.2%,2.9%,-9.0%,16.4%,8.9%,4.7%,8.7%,3.0%,9.9%,6.4%,23.0%,23.1%,7.2%,16.7%,,,,,,
13,Argentina,"60,600","53,488","63,548","177,636","56,959","71,262","55,706","183,927","82,277","68,061","83,557","233,895","72,710","60,973","69,426","203,109",,-19.9%,-16.5%,22.9%,-7.2%,-10.3%,11.7%,19.2%,5.7%,26.2%,27.5%,34.6%,29.4%,35.1%,41.5%,40.7%,38.9%,,,,,,
14,Colombia,"60,160","41,297","69,173","170,630","56,580","66,991","106,846","230,417","86,324","67,311","62,093","215,728","70,614","69,473","105,045","245,132",,3.5%,5.7%,32.7%,14.3%,-27.6%,0.0%,5.7%,-6.4%,4.3%,-6.9%,-9.3%,-3.5%,-13.7%,-11.6%,-6.5%,-10.1%,,,,,,
15,Spain,"38,431","34,970","63,413","136,814","57,016","59,664","74,667","191,347","78,535","94,968","70,057","243,560","64,053","57,388","66,789","188,230",,3.4%,1.6%,35.0%,15.4%,-13.4%,14.2%,6.7%,1.7%,1.6%,-0.9%,6.4%,1.9%,11.5%,10.4%,11.3%,11.1%,,,,,,
16,Netherlands,"32,483","36,257","43,733","112,473","71,763","79,560","55,758","207,081","114,334","58,413","65,129","237,876","76,118","51,128","43,920","171,166",,0.3%,3.2%,3.5%,2.5%,9.3%,27.5%,17.7%,18.0%,17.9%,4.3%,11.6%,12.6%,20.5%,22.7%,-0.5%,14.9%,,,,,,
17,Ireland,"21,290","23,129","37,414","81,833","34,687","39,122","52,171","125,980","46,803","35,817","41,636","124,256","45,110","39,698","34,487","119,295",,4.2%,-2.1%,27.9%,11.6%,-2.6%,18.2%,16.6%,11.0%,30.1%,10.4%,10.9%,17.3%,10.7%,7.2%,11.7%,9.8%,,,,,,
18,Sweden,"36,681","41,584","49,380","127,645","59,957","46,402","62,136","168,495","43,750","32,325","42,055","118,130","68,689","47,156","58,182","174,027",,10.6%,15.8%,16.4%,14.5%,-0.8%,4.4%,7.3%,3.5%,4.1%,3.5%,3.7%,3.8%,8.6%,11.8%,-3.9%,4.9%,,,,,,
19,Venezuela,"38,805","33,330","50,585","122,720","51,345","50,073","41,118","142,536","50,616","66,033","46,708","163,357","41,734","47,769","79,137","168,640",,-30.4%,-38.2%,18.9%,-19.4%,-11.2%,-7.0%,-3.8%,-7.7%,10.4%,16.5%,2.7%,10.4%,-7.7%,-1.9%,6.8%,0.4%,,,,,,
20,Taiwan,"31,962","32,075","30,308","94,345","29,359","39,045","48,636","117,040","53,642","43,336","39,631","136,609","35,641","30,914","29,458","96,013",,-15.3%,46.2%,14.2%,9.4%,13.3%,5.2%,0.5%,5.0%,-0.5%,-1.3%,4.4%,0.6%,9.3%,12.0%,12.5%,11.1%,,,,,,
21,Switzerland,"23,832","25,016","34,685","83,533","59,682","49,063","40,889","149,634","78,182","43,264","53,002","174,448","58,246","35,952","36,677","130,875",,-4.8%,-4.2%,9.6%,0.9%,3.1%,14.4%,8.2%,8.0%,9.2%,5.0%,10.6%,8.6%,14.1%,13.1%,-2.5%,8.7%,,,,,,
22,Dominican Republic,"15,702","14,847","22,195","52,744","21,061","23,631","29,902","74,594","41,101","27,024","28,157","96,282","28,979","28,715","43,008","100,702",,22.5%,12.1%,48.9%,28.7%,-9.5%,12.8%,18.5%,7.4%,8.9%,-3.5%,23.4%,8.7%,25.0%,14.7%,30.6%,24.1%,,,,,,
23,Ecuador,"12,993","27,212","33,104","73,309","37,709","30,375","20,942","89,026","34,063","41,056","34,080","109,199","42,746","33,416","28,009","104,171",,-13.5%,32.0%,6.4%,9.8%,19.9%,10.0%,12.3%,14.5%,8.4%,13.5%,-2.6%,6.5%,24.9%,14.2%,-0.7%,13.6%,,,,,,
24,Israel,"20,104","20,025","32,327","72,456","29,646","29,777","38,662","98,085","45,803","42,040","57,393","145,236","35,843","29,640","27,576","93,059",,2.8%,9.6%,38.6%,18.5%,-12.0%,5.7%,19.1%,4.0%,13.8%,19.8%,46.9%,27.0%,-13.2%,13.4%,16.2%,2.1%,,,,,,
25,Chile,"22,844","29,560","18,392","70,796","21,329","30,111","23,236","74,676","34,230","26,856","32,071","93,157","27,113","20,838","24,974","72,925",,43.9%,40.6%,12.6%,33.0%,19.6%,17.2%,7.1%,14.5%,25.1%,22.2%,19.6%,22.3%,29.1%,27.0%,16.4%,23.9%,,,,,,
26,Denmark,"20,439","23,324","33,284","77,047","27,505","28,692","31,433","87,630","48,484","22,244","31,063","101,791","43,810","24,313","19,612","87,735",,18.2%,18.7%,44.0%,28.3%,-8.0%,19.0%,11.3%,6.5%,5.9%,7.2%,14.8%,8.7%,17.0%,16.3%,4.2%,13.7%,,,,,,
27,Costa Rica,"23,499","10,741","14,965","49,205","13,272","14,584","15,326","43,182","21,989","13,222","22,046","57,257","21,399","21,363","39,403","82,165",,5.5%,5.9%,37.9%,13.7%,-26.7%,4.8%,-1.6%,-9.3%,25.7%,16.5%,16.4%,19.8%,22.3%,21.5%,27.5%,24.5%,,,,,,
28,Philippines,"9,994","9,947","19,396","39,337","26,784","30,337","23,338","80,459","21,200","18,151","19,441","58,792","21,872","17,659","26,083","65,614",,2.4%,0.2%,21.3%,10.2%,-10.3%,13.7%,21.0%,6.1%,13.8%,1.5%,10.7%,8.7%,4.7%,4.2%,14.9%,8.4%,,,,,,
29,New Zealand,"17,462","11,603","15,957","45,022","25,066","28,909","30,294","84,269","36,495","31,982","34,192","102,669","26,459","18,104","20,181","64,744",,16.8%,7.8%,26.5%,17.4%,13.7%,19.7%,11.7%,14.9%,12.4%,12.4%,10.3%,11.7%,6.7%,9.2%,4.0%,6.5%,,,,,,
30,Peru,"19,581","22,554","18,439","60,574","20,296","27,092","20,188","67,576","31,586","23,412","21,683","76,681","30,380","24,049","28,306","82,735",,24.0%,10.2%,5.8%,12.8%,15.6%,7.4%,18.6%,13.0%,15.5%,19.2%,13.8%,16.1%,8.7%,13.9%,18.9%,13.6%,,,,,,
31,Belgium,"14,895","16,662","20,802","52,359","37,349","29,443","25,239","92,031","44,215","29,543","31,124","104,882","27,845","23,283","17,929","69,057",,4.3%,8.8%,-5.4%,1.5%,5.3%,21.0%,2.2%,8.9%,13.6%,7.5%,10.4%,10.9%,16.8%,26.6%,2.2%,15.5%,,,,,,
32,Jamaica,"10,945","11,586","13,983","36,514","18,660","20,571","21,449","60,680","41,515","27,785","17,605","86,905","18,774","21,679","26,048","66,501",,20.3%,33.0%,22.9%,25.1%,18.6%,19.1%,21.8%,19.9%,15.8%,5.2%,29.5%,14.6%,27.2%,21.0%,24.2%,23.9%,,,,,,
33,Norway,"18,462","24,010","35,044","77,516","25,081","23,368","42,443","90,892","38,157","16,441","30,076","84,674","28,560","22,457","20,295","71,312",,6.7%,7.9%,49.1%,22.9%,-25.9%,1.2%,2.8%,-7.5%,-1.0%,-8.9%,-0.2%,-2.4%,2.2%,2.4%,-4.2%,0.4%,,,,,,
34,Bahamas,"12,128","11,270","12,983","36,381","15,964","16,792","16,680","49,436","32,377","36,631","14,156","83,164","18,453","20,625","27,742","66,820",,3.6%,3.4%,11.6%,6.3%,-3.1%,12.7%,1.5%,3.4%,10.4%,-4.1%,13.4%,3.9%,7.6%,16.0%,13.4%,12.5%,,,,,,
35,Guatemala,"11,697","10,642","16,511","38,850","14,948","18,706","22,685","56,339","17,021","14,382","18,077","49,480","23,250","32,553","34,164","89,967",,2.6%,1.8%,23.2%,10.2%,-18.7%,0.9%,3.6%,-4.2%,5.5%,-3.5%,8.7%,3.8%,8.3%,9.5%,10.9%,9.7%,,,,,,
36,Russia,"25,858","15,184","20,200","61,242","22,150","21,379","24,474","68,003","24,075","22,548","23,079","69,702","23,890","20,147","26,588","70,625",,-28.2%,-33.1%,-41.3%,-34.3%,-34.0%,-26.9%,-29.0%,-30.1%,-28.0%,-18.7%,-6.8%,-18.9%,-6.7%,-4.7%,-9.7%,-7.3%,,,,,,
37,Honduras,"9,780","8,021","11,000","28,801","10,839","13,624","17,177","41,640","18,604","14,406","14,971","47,981","15,358","15,051","26,537","56,946",,6.8%,7.5%,24.4%,13.2%,-14.7%,6.3%,0.3%,-2.4%,16.8%,11.4%,16.1%,14.9%,16.4%,30.3%,26.3%,24.5%,,,,,,
38,El Salvador,"6,643","7,312","11,693","25,648","11,102","14,995","15,753","41,850","17,615","13,351","14,990","45,956","14,676","17,328","26,592","58,596",,22.8%,18.3%,57.3%,34.8%,-0.0%,34.7%,39.6%,24.9%,48.1%,37.3%,37.5%,41.3%,37.5%,32.4%,42.6%,38.2%,,,,,,
39,Poland,"10,619","9,553","11,301","31,473","13,826","15,829","19,855","49,510","18,875","16,732","17,450","53,057","13,942","12,857","11,308","38,107",,4.6%,-2.4%,5.6%,2.7%,1.3%,6.4%,0.9%,2.7%,5.5%,6.2%,11.1%,7.5%,12.1%,10.0%,6.6%,9.7%,,,,,,
40,Austria,"11,764","12,727","19,209","43,700","17,342","21,084","14,857","53,283","26,994","22,106","21,093","70,193","20,679","17,388","16,062","54,129",,11.1%,-2.4%,43.7%,18.1%,-18.1%,16.9%,-4.4%,-2.7%,12.9%,-1.1%,12.3%,7.9%,29.2%,22.2%,0.6%,17.2%,,,,,,
41,Nigeria,"9,680","7,877","12,958","30,515","13,520","17,133","13,932","44,585","24,885","31,844","17,509","74,238","15,349","12,516","17,467","45,332",,23.9%,20.6%,32.8%,26.6%,-0.6%,7.8%,10.9%,6.0%,8.4%,3.5%,7.3%,6.0%,12.2%,11.2%,13.7%,12.5%,,,,,,
42,Saudi Arabia,"44,491","9,580","19,292","73,363","12,793","21,760","18,988","53,541","46,299","57,797","25,113","129,209","11,591","9,164","14,540","35,295",,18.5%,20.0%,19.5%,18.9%,10.3%,9.6%,-26.8%,-6.7%,58.2%,-15.4%,-5.5%,4.0%,-12.0%,7.6%,-18.3%,-10.6%,,,,,,
43,Panama,"15,633","18,729","10,182","44,544","12,175","14,722","11,171","38,068","13,113","11,582","16,161","40,856","19,426","18,949","15,990","54,365",,6.8%,16.7%,-10.0%,6.1%,16.8%,16.4%,-0.1%,11.1%,23.2%,13.0%,8.0%,13.9%,25.3%,18.4%,18.4%,20.8%,,,,,,
44,Trinidad And Tobago,"7,694","8,871","11,130","27,695","11,447","12,739","13,902","38,088","19,838","22,095","14,058","55,991","13,608","15,157","18,675","47,440",,12.2%,32.5%,35.4%,27.2%,-2.2%,5.3%,5.1%,2.8%,5.3%,5.2%,24.6%,9.5%,8.2%,13.2%,10.5%,10.7%,,,,,,
45,Singapore,"10,412","7,241","10,390","28,043","12,171","20,112","18,153","50,436","12,536","12,759","12,669","37,964","13,202","14,351","16,414","43,967",,9.9%,-5.0%,-2.2%,1.2%,18.7%,11.0%,0.1%,8.4%,9.8%,5.6%,3.6%,6.3%,5.7%,-1.5%,2.4%,2.1%,,,,,,
46,Turkey,"18,696","9,568","13,760","42,024","16,207","17,293","21,770","55,270","17,355","16,330","19,315","53,000","14,496","15,717","12,356","42,569",,14.5%,0.1%,11.9%,10.0%,18.4%,8.3%,6.2%,10.2%,3.3%,9.8%,27.3%,13.1%,-14.5%,23.7%,14.0%,5.1%,,,,,,
47,Hong Kong,"9,515","9,086","9,107","27,708","8,927","13,106","15,112","37,145","15,834","12,620","12,212","40,666","10,090","8,223","9,659","27,972",,-10.1%,40.7%,20.8%,12.7%,2.8%,11.4%,14.9%,10.5%,4.5%,3.4%,4.7%,4.2%,13.6%,7.9%,7.5%,9.7%,,,,,,
48,Portugal,"6,702","6,026","10,616","23,344","9,455","10,239","9,935","29,629","11,529","12,646","9,712","33,887","9,904","8,750","10,771","29,425",,2.1%,0.5%,37.9%,15.2%,-18.8%,18.8%,3.2%,-0.9%,12.1%,-3.1%,6.7%,4.5%,13.0%,2.6%,5.1%,6.9%,,,,,,
49,Finland,"11,814","14,183","12,994","38,991","12,555","12,708","16,195","41,458","10,819","8,746","10,750","30,315","16,648","13,098","14,870","44,616",,13.4%,7.0%,-2.3%,5.5%,7.1%,16.0%,3.8%,8.3%,8.8%,13.7%,7.3%,9.6%,23.8%,27.3%,-3.8%,13.8%,,,,,,
50,South Africa,"7,661","5,383","8,125","21,169","9,983","10,770","13,999","34,752","12,685","11,129","11,247","35,061","10,549","7,707","16,305","34,561",,10.4%,-1.2%,6.6%,5.8%,9.6%,10.1%,11.4%,10.5%,11.0%,3.9%,4.6%,6.6%,15.5%,12.3%,5.2%,9.7%,,,,,,
51,Haiti,"6,963","7,528","9,026","23,517","9,739","11,541","10,044","31,324","13,647","11,186","10,597","35,430","10,771","11,072","13,075","34,918",,19.2%,22.4%,30.1%,24.3%,15.2%,18.2%,4.9%,12.7%,-3.9%,-7.4%,12.9%,-0.7%,15.1%,8.0%,13.2%,12.0%,,,,,,
52,Vietnam,"6,570","5,014","6,668","18,252","7,917","10,678","11,400","29,995","10,409","13,467","9,962","33,838","7,067","5,279","7,848","20,194",,24.5%,48.4%,31.6%,33.0%,53.6%,26.1%,14.2%,27.1%,8.7%,6.6%,2.9%,6.1%,13.4%,-2.6%,-6.2%,0.9%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sources: U.S. Department of Commerce, ITA, I&A, National Travel and Tourism Office (NTTO) I-94 Program, Statistics Canada, and Instituto Nacional de Estadística y Geografía/INEGI (Banco de Mexico). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F = Final data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Released: May 2019 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
